"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\araik\OneDrive\Документы\work\busfy\src\app\router\Router.tsx", "TypeScript JSX", 58, 0, 0, 0, 0, 0, 6, 64
"c:\Users\araik\OneDrive\Документы\work\busfy\src\app\router\routes.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\araik\OneDrive\Документы\work\busfy\src\app\store\store.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\araik\OneDrive\Документы\work\busfy\src\app\store\storeHooks.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\dots.svg", "XML", 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\eye.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\favourite-active.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\favourite.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\folder.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\heart.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\home.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\lock.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\mail.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\plus-white.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\plus.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\presons.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\search.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\settings.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\araik\OneDrive\Документы\work\busfy\src\assets\user.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\araik\OneDrive\Документы\work\busfy\src\features\authorization\authSlice.ts", "TypeScript", 0, 146, 0, 0, 0, 0, 19, 165
"c:\Users\araik\OneDrive\Документы\work\busfy\src\features\authorization\confirmSignUpThunk.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 6, 50
"c:\Users\araik\OneDrive\Документы\work\busfy\src\features\authorization\loginThunk.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 5, 50
"c:\Users\araik\OneDrive\Документы\work\busfy\src\features\authorization\signUpThunk.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\araik\OneDrive\Документы\work\busfy\src\index.css", "CSS", 0, 0, 17, 0, 0, 0, 6, 23
"c:\Users\araik\OneDrive\Документы\work\busfy\src\main.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\araik\OneDrive\Документы\work\busfy\src\pages\home\Home.module.scss", "SCSS", 0, 0, 0, 30, 0, 0, 8, 38
"c:\Users\araik\OneDrive\Документы\work\busfy\src\pages\home\Home.tsx", "TypeScript JSX", 89, 0, 0, 0, 0, 0, 13, 102
"c:\Users\araik\OneDrive\Документы\work\busfy\src\pages\home\recomendations\Recomendation.module.scss", "SCSS", 0, 0, 0, 24, 0, 0, 7, 31
"c:\Users\araik\OneDrive\Документы\work\busfy\src\pages\home\recomendations\Recomendation.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 3, 23
